"Campaign ID","Campaign Name","Campaign Start Date","Campaign End Date","Campaign Budget","Campaign Channel","Campaign Objective","Campaign Type","Target Audience","Geographic Location","Audience Segment","Campaign Theme","Campaign Channel Type"
"1","Summer Collection","6/1/2023","8/31/2023","$10,000 ","Social Media","Increase Sales","Seasonal","Women","Global","Young Adults","Summer","Organic"
"2","Holiday Campaign","11/1/2023","12/31/2023","$15,000 ","Email","Boost Engagement","Seasonal","All","USA","Families","Holiday","Paid"
"3","Spring Sale","4/1/2023","4/30/2023","$5,000 ","Social Media","Drive Conversions","Promotional","All","Global","All","Spring","Organic"
"4","Back to School","8/15/2023","9/15/2023","$8,000 ","Email","Increase Awareness","Seasonal","Students","USA, Canada","Students","Back to School","Paid"
"5","New Year Campaign","12/15/2023","1/15/2024","$12,000 ","Social Media","Brand Awareness","Seasonal","All","Global","All","New Year","Organic"
"6","Product Launch","3/1/2023","3/31/2023","$6,000 ","Email","Generate Buzz","Promotional","All","Global","All","Product Launch","Paid"
"7","Summer Sale","7/1/2023","7/31/2023","$7,500 ","Social Media","Drive Conversions","Seasonal","All","USA, UK, Canada","All","Summer","Organic"
"8","Valentine's Day","2/1/2023","2/14/2023","$4,000 ","Email","Increase Sales","Seasonal","All","Global","Couples","Valentine's Day","Paid"
"9","Anniversary","9/1/2023","9/30/2023","$6,500 ","Social Media","Boost Engagement","Milestone","All","Global","All","Anniversary","Organic"
"10","Black Friday","11/24/2023","11/24/2023","$20,000 ","Social Media","Drive Sales","Seasonal","All","USA, Canada","All","Black Friday","Organic"
